seller_gst,product_category,subtotal,taxes,total_amount,gst_percentage,is_fraud,fraud_type
13QSFGD4614B1Z5,Electronics,9412.56,1694.26,11106.82,18.0,0,None
28OTPJY5648Q1Z5,Essential Medicine,283.13,33.98,317.11,12.0,0,None
06VMAZP3314V1Z5,Books,26928.34,3231.4,30159.74,5.0,1,Rate Mismatch
23CBMFQ9755C1Z5,Books,6379.4,318.97,6698.37,5.0,0,None
11VMCBU1857J1Z5,Electronics,5770.62,1038.71,6809.33,18.0,0,None
01MDAWE3747H1Z5,Essential Medicine,49820.21,5978.43,55798.64,12.0,0,None
14BDFXS1769W1Z5,Electronics,10642.05,1915.57,12557.619999999999,18.0,0,None
20MLTAE1936M1Z5,Grocery,27617.47,1380.87,28998.34,5.0,0,None
29KESJU1446G1Z5,Essential Medicine,21135.32,2536.24,23671.559999999998,12.0,0,None
09HCWPW1601G1Z5,Luxury Goods,34098.1,9547.47,43645.57,28.000000000000004,0,None
18NWDJN1488N1Z5,Essential Medicine,26319.94,3158.39,29478.329999999998,12.0,0,None
05LJHRY3951K1Z5,Electronics,8272.0,1488.96,9760.96,18.0,0,None
27WWRKF6724F1Z5,Electronics,11849.17,0,-100,18.0,1,Anomalous Value
33QWCMG6574U1Z5,Essential Medicine,22008.37,2641.0,24649.37,12.0,0,None
35OJRJH1415V1Z5,Services,25469.14,7131.36,32600.5,18.0,1,Rate Mismatch
VQ83D8LN7WSN2TA,Essential Medicine,22531.08,2703.73,25234.81,12.0,1,Invalid GSTIN
15GRKMP7452I1Z5,Books,35489.98,1774.5,37264.48,5.0,0,None
22JAKRB7194D1Z5,Essential Medicine,29676.28,3561.15,33337.43,12.0,1,Calculation Error
06DDZVL6311F1Z5,Electronics,2090.32,376.26,2466.58,18.0,0,None
18CNFYT8249B1Z5,Essential Medicine,5025.26,603.03,5628.29,12.0,0,None
23KZKJI5497C1Z5,Luxury Goods,9654.03,2703.13,12357.16,28.000000000000004,0,None
35IZRXZ5450J1Z5,Essential Medicine,41442.52,4973.1,46415.619999999995,12.0,0,None
17FWDGX4552N1Z5,Books,4648.6,232.43,4881.030000000001,5.0,0,None
29WRZEU1959F1Z5,Grocery,29560.84,1478.04,31038.88,5.0,0,None
22ZVDGT5274B1Z5,Services,46112.44,8300.24,54412.68,18.0,0,None
34JHVVP3716A1Z5,Luxury Goods,460.5,128.94,589.44,28.000000000000004,0,None
14EUVPY6240F1Z5,Luxury Goods,20155.61,5643.57,25799.18,28.000000000000004,0,None
35BRWGT5099A1Z5,Electronics,3035.62,546.41,3582.0299999999997,18.0,0,None
09RHDPU7375C1Z5,Luxury Goods,49323.89,13810.69,63134.58,28.000000000000004,0,None
06NLBEB2890T1Z5,Books,22723.86,0,-100,5.0,1,Anomalous Value
04DREFK3854B1Z5,Essential Medicine,45560.59,2278.03,47838.619999999995,12.0,1,Rate Mismatch
37UUDYS2174D1Z5,Essential Medicine,36101.93,4332.23,40434.16,12.0,0,None
27KIDQK6015F1Z5,Luxury Goods,13203.22,3696.9,16900.12,28.000000000000004,0,None
35XSIOO3301F1Z5,Electronics,4232.37,0,-100,18.0,1,Anomalous Value
4VJD7NBIAGHDRXF,Essential Medicine,43572.05,5228.65,48800.700000000004,12.0,1,Invalid GSTIN
05MCELJ2101M1Z5,Essential Medicine,1353.26,162.39,1515.65,12.0,0,None
26PBTCY5122K1Z5,Luxury Goods,38258.88,10712.49,48971.369999999995,28.000000000000004,0,None
21LHELG5049O1Z5,Books,2347.39,117.37,2464.7599999999998,5.0,0,None
29YJRHF5870O1Z5,Services,49445.92,8900.27,58346.19,18.0,0,None
30JAOPE4880G1Z5,Services,3089.57,556.12,3645.69,18.0,0,None
20ENDGM2737A1Z5,Grocery,40380.01,2019.0,42399.01,5.0,0,None
31COLYP1439E1Z5,Grocery,45144.4,2257.22,47401.62,5.0,0,None
26RJSHV5210E1Z5,Services,19153.5,3447.63,22601.13,18.0,0,None
33ISYGU9504L1Z5,Services,33243.97,5983.91,39177.880000000005,18.0,1,Calculation Error
13SEBRQ1957G1Z5,Services,45768.63,8238.35,54006.979999999996,18.0,0,None
R459DNZD5DHYZGB,Services,39905.79,7183.04,47088.83,18.0,1,Invalid GSTIN
05KYIXD2079A1Z5,Grocery,31586.57,1579.33,33165.9,5.0,0,None
19FYHTT0215M1Z5,Services,4541.08,817.39,5358.47,18.0,0,None
